Ligand gene symbol	Receptor gene symbol
BMP2	ACVR2B
BMP2	BAMBI
BMP2	BMPR1A
BMP2	BMPR1B
BMP2	BMPR2
BMP2	ENG
BMP2	HJV
BMP2	RGMB
BMP3	ACVR2B
BMP4	BAMBI
BMP4	BMPR1A
BMP4	BMPR1B
BMP4	BMPR2
BMP4	CFC1
BMP4	HJV
BMP4	RGMB
BMP5	ACVR1
BMP5	ACVR2A
BMP5	ACVR2B
BMP5	BMPR1B
BMP5	BMPR2
BMP5	HJV
BMP6	ACVR1
BMP6	ACVR2A
BMP6	ACVR2B
BMP6	BAMBI
BMP6	BMPR1A
BMP6	BMPR1B
BMP6	BMPR2
BMP6	HJV
BMP7	ACVR1
BMP7	ACVR2A
BMP7	ACVR2B
BMP7	BAMBI
BMP7	BMPR1A
BMP7	BMPR1B
BMP7	BMPR2
BMP7	ENG
BMP7	HJV
BMP8A	ACVR2A
BMP8A	ACVR2B
BMP8A	BMPR1A
BMP8A	BMPR2
BMP8A	TGFBR1
BMP8A	TGFBR2
BMP8B	ACVR1
BMP8B	ACVR2A
BMP8B	ACVR2B
BMP8B	BMPR1A
BMP8B	BMPR1B
BMP8B	BMPR2
BSG	SLC16A1
BSG	SLC16A7
BST2	LILRA4
BTC	EGFR
BTC	ERBB2
BTC	ERBB3
BTC	ERBB4
BTLA	CD247
BTLA	CD79A
BTLA	TNFRSF14
BTLA	VTCN1
C1QA	CD33
C1QA	CD93
C1QA	CSPG4
C1QB	CD33
C1QB	LRP1
C1QTNF1	AVPR2
C1orf112	PLSCR4
C1orf194	PLSCR4
C2	CR1
C3	C3AR1
C3	C5AR2
C3	CD19
C3	CD46
C3	CD81
C3	CR1
C3	CR2
C3	IFITM1
C3	ITGAM
C3	ITGAX
C3	ITGB2
C3	LRP1
C4A	C3AR1
C4A	C5AR2
C4A	CD46
C4A	CR1
C4B	CD46
C4B	CR1
C4BPA	BMPR2
C4BPA	CD40
C4BPA	LRP1
C5	C5AR1
C5	C5AR2
C6orf15	DDR1
CACNA2D3	CACNA1C
CACNA2D3	CACNG1
CACNA2D3	CACNG2
CACNA2D3	CACNG3
CACNA2D3	CACNG4
CACNA2D3	CACNG5
CACNA2D3	CACNG6
CACNA2D3	CACNG7
CACNA2D3	CACNG8
CADM1	CADM3
CADM1	CRTAM
CADM1	NECTIN3
CALCA	CALCR
CALCA	CALCRL
CALCA	RAMP1
CALCA	RAMP2
CALCB	CALCR
CALCB	CALCRL
CALCB	RAMP1
CALML5	CAV1
CALR	CANX
CALR	HLA-B
CALR	HLA-F
CALR	ITGA3
CALR	ITGAV
CALR	LRP1
CALR	MTNR1A
CALR	SCARF1
CALR	STX4
CALR	TSHR
CAMP	EGFR
CAMP	FPR2
CAMP	IGF1R
CAMP	P2RX7
CCK	CCKAR
CCK	CCKBR
CCL1	CCR8
CCL11	ACKR2
CCL11	ACKR4
CCL11	ADRB2
CCL11	AGTR2
CCL11	CCR2
CCL11	CCR3
CCL11	CCR5
CCL11	CFTR
CCL11	CHRM1
CCL11	CXCR3
CCL11	CXCR4
CCL11	FPR1
CCL11	HTR2C
CCL11	P2RY2
CCL11	PTGER1
CCL13	ACKR2
CCL13	ACKR4
CCL13	CCR2
CCL13	CCR3
CCL13	CCR5
CCL13	CCR9
CCL13	CXCR3
CCL14	ACKR2
CCL14	CCR1
CCL14	CCR3
CCL14	CCR5
CCL15	CCR1
CCL15	CCR3
CCL16	CCR1
CCL16	CCR2
CCL16	CCR5
CCL16	CCR8
CCL16	HRH4
CCL17	ACKR1
CCL17	ACKR2
CCL17	CCR4
CCL17	CCR8
CCL18	CCR3
CCL18	CCR8
CCL18	PITPNM3
CCL19	ACKR2
CCL19	ACKR4
CCL19	CCR1
CCL19	CCR10
CCL19	CCR7
CCL19	CCRL2
CCL19	CXCR3
CCL2	ACKR1
CCL2	ACKR2
CCL2	ACKR4
CCL2	CCR1
CCL2	CCR10
CCL2	CCR2
CCL2	CCR3
CCL2	CCR4
CCL2	CCR5
CCL20	CCR6
CCL20	CXCR3
CCL21	ACKR2
CCL21	ACKR4
CCL21	CCR1
CCL21	CCR10
CCL21	CCR7
CCL21	CXCR3
CCL22	ACKR2
CCL22	CCR4
CCL23	CCR1
CCL24	CCR2
CCL24	CCR3
CCL24	XCR1
CCL25	ACKR2
CCL25	ACKR4
CCL25	CCR10
CCL25	CCR9
CCL26	CCR1
CCL26	CCR2
CCL26	CCR3
CCL27	ACKR2
CCL27	CCR10
CCL28	ACKR2
CCL28	CCR10
CCL28	CCR3
CCL3	ACKR2
CCL3	CCR1
CCL3	CCR3
CCL3	CCR4
CCL3	CCR5
CCL3L1	ACKR2
CCL3L1	CCR1
CCL3L1	CCR3
CCL3L1	CCR5
CCL3L3	ACKR2
CCL3L3	CCR5
CCL4	ACKR2
CCL4	ADRB2
CCL4	AGTR2
CCL4	CCR1
CCL4	CCR3
CCL4	CCR5
CCL4	CCR8
CCL4	CFTR
CCL4	CHRM1
CCL4	CXCR4
CCL4	FPR1
CCL4	HTR2C
CCL4	P2RY2
CCL4	PTGER1
CCL4L1	CCR1
CCL4L1	CCR3
CCL4L1	CCR5
CCL4L2	CCR1
CCL4L2	CCR5
CCL5	ACKR1
CCL5	ACKR2
CCL5	CCR1
CCL5	CCR3
CCL5	CCR4
CCL5	CCR5
CCL5	CXCR3
CCL5	GPR75
CCL5	SDC1
CCL5	SDC4
CCL7	ACKR1
CCL7	ACKR2
CCL7	ACKR4
CCL7	CCR1
CCL7	CCR10
CCL7	CCR2
CCL7	CCR3
CCL7	CCR5
CCL7	CXCR3
CCL8	ACKR1
CCL8	ACKR2
CCL8	ACKR4
CCL8	CCR1
CCL8	CCR2
CCL8	CCR3
CCL8	CCR5
CCN1	CAV1
CCN1	ITGA5
CCN1	ITGAM
CCN1	ITGAV
CCN1	ITGB2
CCN1	ITGB3
CCN1	ITGB5
CCN2	ITGA5
CCN2	ITGAM
CCN2	ITGB2
CCN2	LRP1
CCN2	LRP6
CCN2	NTRK1
CCN3	NOTCH1
CCN3	PLXNA1
CCN4	ITGA5
CCN4	ITGB1
CD14	CD36
CD14	F2R
CD14	ITGA4
CD14	ITGAM
CD14	ITGB1
CD14	ITGB2
CD14	LY96
CD14	TLR2
CD14	TLR4
CD14	TLR6
CD160	HLA-B
CD160	HLA-F
CD160	TNFRSF14
CD177	PECAM1
CD177	PROCR
CD1D	CD3D
CD1D	CD3E
CD1D	CD3G
CD1D	LILRB2
CD200	CD200R1
CD200	CD200R1L
CD200R1	CD200
CD200R1	CD200R1L
CD226	NECTIN2
CD226	PVR
CD24	SELP
CD244	CD48
CD274	CD80
CD274	PDCD1
CD28	CD2
CD28	CD80
CD28	CD86
CD28	CTLA4
CD28	ITGA1
CD28	ITGA10
CD28	ITGA11
CD28	ITGA2
CD28	ITGA3
CD28	ITGA4
CD28	ITGA5
CD28	ITGA8
CD28	ITGA9
CD28	ITGAD
CD28	ITGAE
CD28	ITGAL
CD28	ITGAM
CD28	ITGAV
CD28	ITGAX
CD28	ITGB1
CD28	ITGB2
CD28	ITGB3
CD28	ITGB4
CD28	ITGB5
CD28	ITGB6
CD28	ITGB7
CD28	ITGB8
CD34	SELL
CD38	PECAM1
CD40LG	CD40
CD40LG	ITGAM
CD40LG	ITGB2
CD44	CD74
CD44	ERBB2
CD44	SELE
CD44	SLC9A1
CD47	ITGA2B
CD47	ITGAV
CD47	ITGB3
CD47	SIRPA
CD47	SIRPG
CD48	CD2
CD52	SIGLEC10
CD55	ADGRE2
CD55	ADGRE5
CD55	TMEM115
CD58	CD2
CD59	CD2
CD59	TMEM115
CD5L	CD5
CD70	CD27
CD80	CD28
CD80	CD86
CD80	CTLA4
CD80	ITGA1
CD80	ITGA10
CD80	ITGA11
CD80	ITGA2
CD80	ITGA3
CD80	ITGA4
CD80	ITGA5
CD80	ITGA8
CD80	ITGA9
CD80	ITGAD
CD80	ITGAE
CD80	ITGAL
CD80	ITGAM
CD80	ITGAV
CD80	ITGAX
CD80	ITGB1
CD80	ITGB2
CD80	ITGB3
CD80	ITGB4
CD80	ITGB5
CD80	ITGB6
CD80	ITGB7
CD80	ITGB8
CD84	CD84
CD86	CD28
CD86	CD80
CD86	CTLA4
CD8B	CD247
CD8B	CD3D
CD8B	CD3E
CD8B	CD3G
CD8B	CD4
CD8B	CD8A
CD8B	HLA-B
CD8B	HLA-F
CD8B	TRAT1
CD96	NECTIN1
CD96	PVR
CD99	PILRA
CD99	PILRB
CDH1	CDH2
CDH1	EGFR
CDH1	ERBB3
CDH1	F2RL2
CDH1	IGF1R
CDH1	ITGA6
CDH1	ITGAE
CDH1	ITGB4
CDH1	ITGB7
CDH1	KLRG1
CDH1	LRP5
CDH1	PTPRM
CDH4	CDON
CEACAM1	CD209
CEACAM1	SELE
CEACAM5	CD1D
CEACAM5	CD8A
CEACAM6	CEACAM8
CEACAM8	CEACAM1
CEL	CXCR4
CELA3B	CHRM3
CER1	BAMBI
CER1	BMPR1A
CER1	BMPR1B
CER1	BMPR2
CER1	HJV
CER1	RGMB
CETP	APP
CFB	CR1
CFH	ITGAM
CFH	SELL
CFI	CD46
CFI	CR1
CFP	NCR1
CGA	LHCGR
CGA	SIRPA
CGA	TSHR
CGB3	LHCGR
CGB8	SIRPA
CGN	F11R
CGN	OCLN
CGN	TGFBR1
CGN	TGFBR2
CHAD	ITGA2
CHAD	ITGB1
CHRD	BAMBI
CHRD	BMPR1A
CHRD	BMPR1B
CHRD	BMPR2
CHRD	HJV
CHRD	RGMB
CHRDL1	BAMBI
CHRDL1	BMPR1A
CHRDL1	BMPR1B
CHRDL1	BMPR2
CHRDL1	HJV
CHRDL1	RGMB
CLCF1	CNTFR
CLCF1	CRLF1
CLCF1	IL6ST
CLCF1	LIFR
CLEC11A	ITGA10
CLEC11A	ITGA11
CLEC11A	ITGB1
CLEC11A	KIT
CLEC2A	KLRB1
CLEC2A	KLRF2
CLEC2B	KLRF1
CLEC2D	KLRB1
CLEC3A	CLEC10A
CLEC3A	CLEC2B
CLEC4C	FCER1G
CNTF	CNTFR
CNTF	IL6R
CNTF	IL6ST
CNTF	LIFR
CNTN1	CNTNAP1
CNTN1	NFASC
CNTN1	NOTCH1
CNTN1	NOTCH2
CNTN1	PTPRZ1
CNTN2	CNTN1
CNTN2	CNTNAP2
CNTN2	NRCAM
CNTN2	NRP1
CNTN4	PTPRG
CNTN6	CHL1
CNTN6	NOTCH1
COL11A1	DDR1
COL11A1	ITGA2
COL11A1	ITGB1
COL11A1	SDC1
COL11A2	ITGA2
COL11A2	ITGB1
COL11A2	SDC1
COL14A1	CD44
COL16A1	ITGA1
COL16A1	ITGA10
COL16A1	ITGA2
COL16A1	ITGB1
COL18A1	GPC1
COL18A1	GPC4
COL18A1	ITGA3
COL18A1	ITGA5
COL18A1	ITGAV
COL18A1	ITGB1
COL18A1	ITGB3
COL18A1	ITGB5
COL18A1	KDR
COL1A1	CD36
COL1A1	CD44
COL1A1	CD93
COL1A1	DDR1
COL1A1	DDR2
COL1A1	FLT4
COL1A1	GP6
COL1A1	ITGA1
COL1A1	ITGA11
COL1A1	ITGA2
COL1A1	ITGA5
COL1A1	ITGAV
COL1A1	ITGB1
COL1A1	ITGB3
COL1A1	SDC1
COL1A2	CD36
COL1A2	CD44
COL1A2	CD93
COL1A2	FLT4
COL1A2	GP6
COL1A2	ITGA1
COL1A2	ITGA11
COL1A2	ITGA2
COL1A2	ITGAV
COL1A2	ITGB1
COL1A2	ITGB3
COL1A2	SDC1
COL2A1	DDR1
COL2A1	ITGA1
COL2A1	ITGA10
COL2A1	ITGA2
COL2A1	ITGB1
COL2A1	MAG
COL2A1	OR1E1
COL2A1	SDC1
COL2A1	TNFRSF10A
COL3A1	DDR1
COL3A1	DDR2
COL3A1	ITGA2
COL3A1	ITGB1
COL3A1	MAG
COL3A1	SDC1
COL4A1	CD47
COL4A1	CD93
COL4A1	ITGA1
COL4A1	ITGA2
COL4A1	ITGAV
COL4A1	ITGB1
COL4A1	ITGB3
COL4A1	ITGB8
COL4A1	SDC1
COL4A2	CD47
COL4A2	CD93
COL4A2	ITGA1
COL4A2	ITGA2
COL4A2	ITGAV
COL4A2	ITGB1
COL4A2	ITGB3
COL4A2	ITGB5
COL4A2	SDC1
COL4A3	CD47
COL4A3	CD93
COL4A3	ITGA1
COL4A3	ITGA2
COL4A3	ITGA3
COL4A3	ITGAV
COL4A3	ITGB1
COL4A3	ITGB3
COL4A3	SDC1
COL4A4	CD47
COL4A4	ITGA1
COL4A4	ITGA2
COL4A4	ITGAV
COL4A4	ITGB1
COL4A4	ITGB3
COL4A4	SDC1
COL4A5	CD47
COL4A5	CD93
COL4A5	ITGA1
COL4A5	ITGA2
COL4A5	ITGAV
COL4A5	ITGB1
COL4A5	ITGB3
COL4A5	SDC1
COL4A6	CD47
COL4A6	CD93
COL4A6	ITGA1
COL4A6	ITGA2
COL4A6	ITGAV
COL4A6	ITGB1
COL4A6	ITGB3
COL4A6	SDC1
COL5A1	ITGA1
COL5A1	ITGB1
COL5A1	SDC1
COL5A1	SDC3
COL5A2	DDR1
COL5A2	ITGA1
COL5A2	ITGB1
COL5A2	SDC1
COL5A3	SDC3
COL6A1	ITGA1
COL6A1	ITGA2
COL6A1	ITGA6
COL6A1	ITGB1
COL6A1	SDC1
COL6A2	ITGA1
COL6A2	ITGA2
COL6A2	ITGB1
COL6A2	SDC1
COL6A3	ITGA1
COL6A3	ITGA2
COL6A3	ITGB1
COL6A3	SDC1
COL6A5	ITGA1
COL6A5	ITGA2
COL6A5	ITGB1
COL6A5	SDC1
COL6A6	ITGA1
COL6A6	ITGA2
COL6A6	ITGB1
COL6A6	SDC1
COL7A1	ITGA2
COL7A1	ITGB1
COL7A1	SDC1
COL8A1	ITGA1
COL8A1	ITGA2
COL9A1	ITGA1
COL9A1	ITGA10
COL9A1	ITGA11
COL9A1	ITGA2
COL9A1	ITGB1
COL9A1	MAG
COL9A2	ITGA1
COL9A2	ITGA10
COL9A2	ITGA11
COL9A2	ITGA2
COL9A2	ITGB1
COL9A2	MAG
COL9A3	ITGA1
COL9A3	ITGA10
COL9A3	ITGA11
COL9A3	ITGA2
COL9A3	ITGB1
COL9A3	MAG
COLQ	MUSK
COMP	CD47
COMP	ITGA5
COMP	ITGAV
COMP	ITGB1
COMP	ITGB3
CORT	GHSR
CORT	MRGPRX2
CORT	SSTR1
CORT	SSTR2
CORT	SSTR3
CORT	SSTR4
CORT	SSTR5
CP	SLC40A1
CPAMD8	SCTR
CRH	CRHR1
CRH	CRHR2
CRLF1	CNTFR
CRLF1	IL6ST
CRLF1	LIFR
CRP	OLR1
CSF1	CSF1R
CSF2	CSF2RA
CSF2	CSF2RB
CSF2	CSF3R
CSF2	IL3RA
CSF2	ITGA9
CSF2	ITGB1
CSF2	SDC2
CSF3	CSF3R
CSH1	PRLR
CSHL1	GHR
CTF1	IL6ST
CTF1	LIFR
CTHRC1	FZD3
CTHRC1	FZD5
CTHRC1	FZD6
CTHRC1	ROR2
CTLA4	CD28
CTLA4	CD80
CTLA4	CD86
CTLA4	ITGA1
CTLA4	ITGA10
CTLA4	ITGA11
CTLA4	ITGA2
CTLA4	ITGA3
CTLA4	ITGA4
CTLA4	ITGA5
CTLA4	ITGA8
CTLA4	ITGA9
CTLA4	ITGAD
CTLA4	ITGAE
CTLA4	ITGAL
CTLA4	ITGAM
CTLA4	ITGAV
CTLA4	ITGAX
CTLA4	ITGB1
CTLA4	ITGB2
CTLA4	ITGB3
CTLA4	ITGB4
CTLA4	ITGB5
CTLA4	ITGB6
CTLA4	ITGB7
CTLA4	ITGB8
CUBN	LRP2
CX3CL1	CX3CR1
CX3CL1	ITGAV
CX3CL1	ITGB3
CXCL1	ACKR1
CXCL1	CXCR1
CXCL1	CXCR2
CXCL10	CCR3
CXCL10	CXCR3
CXCL10	SDC4
CXCL11	ACKR3
CXCL11	CCR3
CXCL11	CXCR3
CXCL12	ACKR3
CXCL12	ADRB2
CXCL12	AGTR2
CXCL12	CCR3
CXCL12	CCR4
CXCL12	CCR5
CXCL12	CD4
CXCL12	CFTR
CXCL12	CHRM1
CXCL12	CXCR3
CXCL12	CXCR4
CXCL12	FPR1
CXCL12	HTR2C
CXCL12	ITGA4
CXCL12	ITGA5
CXCL12	ITGAV
CXCL12	ITGB1
CXCL12	ITGB3
CXCL12	P2RY2
CXCL12	PTGER1
CXCL12	ROBO1
CXCL12	SDC4
CXCL13	ACKR4
CXCL13	CCR10
CXCL13	CXCR3
CXCL13	CXCR5
CXCL13	HTR2A
CXCL13	OPRD1
CXCL14	CXCR4
CXCL16	CXCR6
CXCL17	GPR35
CXCL2	CXCR1
CXCL2	CXCR2
CXCL2	XCR1
CXCL3	CXCR1
CXCL3	CXCR2
CXCL5	ACKR1
CXCL5	CXCR1
CXCL5	CXCR2
CXCL6	CXCR1
CXCL6	CXCR2
CXCL8	ACKR1
CXCL8	CD79A
CXCL8	CXCR1
CXCL8	CXCR2
CXCL8	KDR
CXCL8	SDC1
CXCL8	SDC2
CXCL8	SDC3
CXCL9	CCR3
CXCL9	CXCR3
CYTL1	CCR2
DCN	EGFR
DCN	ERBB2
DCN	ERBB3
DCN	ERBB4
DCN	MET
DCN	TLR2
DCN	TLR4
DEFA3	CD4
DEFB1	CCR6
DEFB103A	CCR6
DEFB103B	CCR2
DEFB103B	CCR6
DEFB4A	CCR6
DEFB4A	TLR4
DEFB4B	CCR6
DHH	BOC
DHH	CDON
DHH	HHIP
DHH	PTCH1
DHH	PTCH2
DKK1	FZD1
DKK1	FZD8
DKK1	KREMEN1
DKK1	KREMEN2
DKK1	LRP4
DKK1	LRP5
DKK1	LRP6
DKK2	KREMEN1
DKK2	KREMEN2
DKK2	LRP5
DKK2	LRP6
DKK4	KREMEN1
DKK4	KREMEN2
DKK4	LRP5
DKK4	LRP6
DLK1	NOTCH1
DLK1	NOTCH2
DLK1	NOTCH3
DLK1	NOTCH4
DLK2	NOTCH1
DLL1	NOTCH1
DLL1	NOTCH2
DLL1	NOTCH3
DLL1	NOTCH4
DLL3	NOTCH1
DLL3	NOTCH2
DLL3	NOTCH3
DLL3	NOTCH4
DLL4	NOTCH1
DLL4	NOTCH2
DLL4	NOTCH3
DLL4	NOTCH4
DNAJB11	PRTG
DSC1	DSG1
DSC1	DSG2
DSC1	DSG3
DSC1	DSG4
DSC2	DSG1
DSC2	DSG2
DSC2	DSG3
DSC2	DSG4
DSC3	DSG1
DSC3	DSG2
DSC3	DSG3
DSC3	DSG4
DSCAM	DCC
DSG1	DSC1
DSG1	DSC3
DSG2	DSC1
DSG2	DSC3
DSPP	ITGAV
DSPP	ITGB1
DSPP	ITGB6
EBI3	CANX
EBI3	IL12RB2
EBI3	IL27RA
EBI3	IL6ST
ECM1	CACHD1
ECM1	ITGB4
EDA	EDA2R
EDA	EDAR
EDIL3	ITGAV
EDIL3	ITGB3
EDIL3	ITGB5
EDN1	ADGRL4
EDN1	ADRB2
EDN1	AGTR2
EDN1	CCR3
EDN1	CCR5
EDN1	CFTR
EDN1	CHRM1
EDN1	CXCR4
EDN1	EDNRA
EDN1	EDNRB
EDN1	FPR1
EDN1	HTR2C
EDN1	KEL
EDN1	P2RY2
EDN1	PTGER1
EDN2	EDNRA
EDN2	EDNRB
EDN2	KEL
EDN3	EDNRA
EDN3	EDNRB
EDN3	KEL
EFEMP1	EGFR
EFNA1	EPHA1
EFNA1	EPHA10
EFNA1	EPHA2
EFNA1	EPHA3
EFNA1	EPHA4
EFNA1	EPHA5
EFNA1	EPHA6
EFNA1	EPHA7
EFNA1	EPHA8
EFNA1	EPHB6
EFNA2	EPHA1
EFNA2	EPHA10
EFNA2	EPHA2
EFNA2	EPHA3
EFNA2	EPHA4
EFNA2	EPHA5
EFNA2	EPHA6
EFNA2	EPHA7
EFNA2	EPHA8
EFNA3	EPHA1
EFNA3	EPHA10
EFNA3	EPHA2
EFNA3	EPHA3
EFNA3	EPHA4
EFNA3	EPHA5
EFNA3	EPHA6
EFNA3	EPHA7
EFNA3	EPHA8
EFNA3	EPHB1
EFNA3	EPHB6
EFNA4	EPHA1
EFNA4	EPHA10
EFNA4	EPHA2
EFNA4	EPHA3
EFNA4	EPHA4
EFNA4	EPHA5
EFNA4	EPHA6
EFNA4	EPHA7
EFNA4	EPHA8
EFNA5	EPHA1
EFNA5	EPHA10
EFNA5	EPHA2
EFNA5	EPHA3
EFNA5	EPHA4
EFNA5	EPHA5
EFNA5	EPHA6
EFNA5	EPHA7
EFNA5	EPHA8
EFNA5	EPHB1
EFNA5	EPHB2
EFNA5	EPHB6
EFNB1	EPHA4
EFNB1	EPHA6
EFNB1	EPHB1
