Ligand gene symbol	Ligand HGNC ID	Ligand location	Receptor gene symbol	Receptor HGNC ID	PMID support
APOE	HGNC:613	secreted	VLDLR	HGNC:12698	"12870663, 12167620"
APP	HGNC:620	plasma membrane; secreted	CAV1	HGNC:1527	9553108
APP	HGNC:620	plasma membrane; secreted	CD74	HGNC:1697	19849849
APP	HGNC:620	plasma membrane; secreted	FPR2	HGNC:3827	"11316806, 11160457"
APP	HGNC:620	plasma membrane; secreted	GPC1	HGNC:4449	15084524
APP	HGNC:620	plasma membrane; secreted	LRP1	HGNC:6692	"12212791, 7543026"
APP	HGNC:620	plasma membrane; secreted	NCSTN	HGNC:17091	10993067
APP	HGNC:620	plasma membrane; secreted	TNFRSF21	HGNC:13469	19225519
AREG	HGNC:651	secreted	EGFR	HGNC:3236	"2466334, 10085134"
AREG	HGNC:651	secreted	ERBB3	HGNC:3431	8702723
ARF1	HGNC:652	plasma membrane	CHRM3	HGNC:1952	12799371
ARF1	HGNC:652	plasma membrane	INSR	HGNC:6091	9197239
ARF1	HGNC:652	plasma membrane	PLD2	HGNC:9068	"12519790, 10801846"
ARTN	HGNC:727	secreted	GFRA1	HGNC:4243	9883723
ARTN	HGNC:727	secreted	GFRA3	HGNC:4245	"9883723, 9883723"
ARTN	HGNC:727	secreted	RET	HGNC:9967	9883723
ASIP	HGNC:745	secreted	ATRN	HGNC:885	11137996
ASIP	HGNC:745	secreted	F11R	HGNC:14685	11447115
ASIP	HGNC:745	secreted	MC1R	HGNC:6929	"12851328, 9058374"
ASIP	HGNC:745	secreted	MC2R	HGNC:6930	9058374
ASIP	HGNC:745	secreted	MC3R	HGNC:6931	9058374
ASIP	HGNC:745	secreted	MC4R	HGNC:6932	9058374
ASIP	HGNC:745	secreted	MC5R	HGNC:6933	9058374
AVP	HGNC:894	secreted	AVPR1A	HGNC:895	"1560825, 8106369, 8106369, 9884074, 9334232, 10780976, 9322919, 12446593, 9459574, 15084136, 9264324, 10866830, 9864265, 10519430, 8106369"
AVP	HGNC:894	secreted	AVPR1B	HGNC:896	"7929452, 9884074, 10780976, 9322919, 12446593, 9459574, 15084136, 9264324, 9864265, 10519430, 16158071, 7929452"
AVP	HGNC:894	secreted	AVPR2	HGNC:897	"11857925, 9884074, 10780976, 9322919, 12446593, 9459574, 15084136, 9264324, 9864265, 10519430, 7774575, 11012895, 11857925"
AVP	HGNC:894	secreted	OXTR	HGNC:8529	"12446593, 15084136, 10519430, 7774575, 11337500, 16158071, 7475979, 8955347, 7921229"
AZGP1	HGNC:910	secreted	ITGAV	HGNC:6150	9813179
B2M	HGNC:914	secreted	CD1A	HGNC:1634	12833155
B2M	HGNC:914	secreted	CD1B	HGNC:1635	12118248
B2M	HGNC:914	secreted	HLA-F	HGNC:4963	11169396
B2M	HGNC:914	secreted	LILRB1	HGNC:6605	12897781
BAG6	HGNC:13919	secreted	NCR3	HGNC:19077	"18055229, 18852879, 24133212"
BDNF	HGNC:1033	secreted	NGFR	HGNC:7809	25354496
BDNF	HGNC:1033	secreted	NTRK2	HGNC:8032	"7644540, 9312147"
BDNF	HGNC:1033	secreted	SORT1	HGNC:11186	15987945
BGN	HGNC:1044	secreted	FGFR3	HGNC:3690	25260943
BGN	HGNC:1044	secreted	TLR2	HGNC:11848	16025156
BGN	HGNC:1044	secreted	TLR4	HGNC:11850	16025156
BMP10	HGNC:20869	secreted	ACVR2A	HGNC:173	16049014
BMP10	HGNC:20869	secreted	ACVRL1	HGNC:175	17068149
BMP10	HGNC:20869	secreted	BMPR1A	HGNC:1076	16049014
BMP10	HGNC:20869	secreted	BMPR1B	HGNC:1077	16049014
BMP10	HGNC:20869	secreted	BMPR2	HGNC:1078	16049014
BMP10	HGNC:20869	secreted	ENG	HGNC:3349	21737454
BMP15	HGNC:1068	secreted	ACVR2A	HGNC:173	2419820
BMP15	HGNC:1068	secreted	BMPR1A	HGNC:1076	2419820
BMP15	HGNC:1068	secreted	BMPR1B	HGNC:1077	"12044914, 12419820"
BMP15	HGNC:1068	secreted	BMPR2	HGNC:1078	12419820
BMP2	HGNC:1069	secreted	ACVR2A	HGNC:173	21702718
BMP2	HGNC:1069	secreted	ACVR2B	HGNC:174	28977600
BMP2	HGNC:1069	secreted	BMPR1A	HGNC:1076	"12700180, 11263668, 10881198, 10692589, 15064755"
BMP2	HGNC:1069	secreted	BMPR1B	HGNC:1077	"12700180, 7811286, 9872992, 15064755"
BMP2	HGNC:1069	secreted	BMPR2	HGNC:1078	"11263668, 10880444"
BMP2	HGNC:1069	secreted	ENG	HGNC:3349	9872992
BMP2	HGNC:1069	secreted	HJV	HGNC:4887	18287331
BMP2	HGNC:1069	secreted	RGMB	HGNC:26896	15671031
BMP3	HGNC:1070	secreted	ACVR2B	HGNC:174	22074949
BMP4	HGNC:1071	secreted	BMPR1A	HGNC:1076	"8006002, 11241215, 8702914, 7644468"
BMP4	HGNC:1071	secreted	BMPR1B	HGNC:1077	"8006002, 11282024, 8702914, 7811286"
BMP4	HGNC:1071	secreted	BMPR2	HGNC:1078	"7673243, 7644468, 8702914"
BMP4	HGNC:1071	secreted	CFC1	HGNC:18292	28126904
BMP4	HGNC:1071	secreted	RGMB	HGNC:26896	15671031
BMP5	HGNC:1072	secreted	HJV	HGNC:4887	23029472
BMP6	HGNC:1073	secreted	ACVR1	HGNC:171	12297674
BMP6	HGNC:1073	secreted	ACVR2A	HGNC:173	10504300
BMP6	HGNC:1073	secreted	BMPR1A	HGNC:1076	"12297674, 10504300, 11401330"
BMP6	HGNC:1073	secreted	BMPR1B	HGNC:1077	"10504300, 11401330"
BMP6	HGNC:1073	secreted	BMPR2	HGNC:1078	10504300
BMP6	HGNC:1073	secreted	HJV	HGNC:4887	23029472
BMP7	HGNC:1074	secreted	ACVR1	HGNC:171	"12297674, 8006002"
BMP7	HGNC:1074	secreted	ACVR2A	HGNC:173	"7790373, 9748228, 12667445"
BMP7	HGNC:1074	secreted	ACVR2B	HGNC:174	9748228
BMP7	HGNC:1074	secreted	BMPR1A	HGNC:1076	"12297674, 7791754, 8605097"
BMP7	HGNC:1074	secreted	BMPR1B	HGNC:1077	"10631182, 8605097"
BMP7	HGNC:1074	secreted	BMPR2	HGNC:1078	7791754
BMP7	HGNC:1074	secreted	ENG	HGNC:3349	9872992
BMP7	HGNC:1074	secreted	HJV	HGNC:4887	23029472
BMP8A	HGNC:21650	secreted	ACVR2A	HGNC:173	28465413
BMP8A	HGNC:21650	secreted	ACVR2B	HGNC:174	28465413
BMP8A	HGNC:21650	secreted	BMPR1A	HGNC:1076	28465413
BMP8A	HGNC:21650	secreted	BMPR2	HGNC:1078	28465413
BMP8A	HGNC:21650	secreted	TGFBR1	HGNC:11772	28465413
BMP8A	HGNC:21650	secreted	TGFBR2	HGNC:11773	28465413
BSG	HGNC:1116	plasma membrane	SELE	HGNC:10718	19443639
BSG	HGNC:1116	plasma membrane	SLC16A1	HGNC:10922	21792931
BSG	HGNC:1116	plasma membrane	SLC16A7	HGNC:10928	21792931
BST2	HGNC:1119	plasma membrane	LILRA4	HGNC:15503	19564354
BTC	HGNC:1121	plasma membrane; secreted	EGFR	HGNC:3236	"8144591, 9528863"
BTC	HGNC:1121	plasma membrane; secreted	ERBB2	HGNC:3430	9662041
BTC	HGNC:1121	plasma membrane; secreted	ERBB3	HGNC:3431	9312020
BTC	HGNC:1121	plasma membrane; secreted	ERBB4	HGNC:3432	"10214951, 11254912"
BTLA	HGNC:21087	plasma membrane	CD79A	HGNC:1698	19155498
BTLA	HGNC:21087	plasma membrane	TNFRSF14	HGNC:11912	15568026
BTLA	HGNC:21087	plasma membrane	VTCN1	HGNC:28873	12796776
C1QA	HGNC:1241	secreted	CD33	HGNC:1659	28325905
C1QA	HGNC:1241	secreted	CD93	HGNC:15855	9476117
C1QA	HGNC:1241	secreted	CSPG4	HGNC:2466	9013976
C1QB	HGNC:1242	secreted	CD33	HGNC:1659	28325905
C1QB	HGNC:1242	secreted	LRP1	HGNC:6692	11560994
C1QTNF1	HGNC:14324	secreted	AVPR2	HGNC:897	12409230
C3	HGNC:1318	secreted	C3AR1	HGNC:1319	"11342658, 20527893, 11342658"
C3	HGNC:1318	secreted	C5AR2	HGNC:4527	11773063
C3	HGNC:1318	secreted	CD19	HGNC:1633	15454921
C3	HGNC:1318	secreted	CD46	HGNC:6953	1717583
C3	HGNC:1318	secreted	CR1	HGNC:2334	"9988761, 10382758"
C3	HGNC:1318	secreted	CR2	HGNC:2336	30566277
C3	HGNC:1318	secreted	ITGAM	HGNC:6149	"4062888, 11073102"
C3	HGNC:1318	secreted	ITGAX	HGNC:6152	"4062888, 7512600"
C3	HGNC:1318	secreted	ITGB2	HGNC:6155	4062888
C3	HGNC:1318	secreted	LRP1	HGNC:6692	"10608878, 10608878"
C3	HGNC:1318	secreted	NRP1	HGNC:8004	31572401
C4A	HGNC:1323	secreted	C3AR1	HGNC:1319	9725198
C4A	HGNC:1323	secreted	C5AR2	HGNC:4527	11773063
C4A	HGNC:1323	secreted	CR1	HGNC:2334	8422437
C4A	HGNC:1323	secreted	NRP1	HGNC:8004	31572401
C4B	HGNC:1324	secreted	CD46	HGNC:6953	1717583
C4B	HGNC:1324	secreted	CR1	HGNC:2334	10528211
C4BPA	HGNC:1325	secreted	BMPR2	HGNC:1078	15188402
C4BPA	HGNC:1325	secreted	CD40	HGNC:11919	12818164
C4BPA	HGNC:1325	secreted	LRP1	HGNC:6692	11705989
C5	HGNC:1331	secreted	C5AR1	HGNC:1338	"1847994, 10602324, 9881961, 15661745, 11773063, 9553099"
C5	HGNC:1331	secreted	C5AR2	HGNC:4527	"11773063, 11773063, 12899627"
CADM1	HGNC:5951	plasma membrane	CADM1	HGNC:5951	"12826663, 17250899, 22703826, 25268382"
CADM1	HGNC:5951	plasma membrane	CADM3	HGNC:17601	15741237
CADM1	HGNC:5951	plasma membrane	CRTAM	HGNC:24313	15811952
CADM1	HGNC:5951	plasma membrane	NECTIN3	HGNC:17664	22703826
CADM3	HGNC:17601	plasma membrane	CADM1	HGNC:5951	15741237
CADM3	HGNC:17601	plasma membrane	CADM3	HGNC:17601	15741237
CADM3	HGNC:17601	plasma membrane	NECTIN1	HGNC:9706	15741237
CADM3	HGNC:17601	plasma membrane	NECTIN3	HGNC:17664	15741237
CALCA	HGNC:1437	secreted	CALCR	HGNC:1440	"2158663, 15692146, 11023820, 9487987, 14722252, 7588285, 12565884, 10342886, 11033437"
CALCA	HGNC:1437	secreted	CALCRL	HGNC:16709	"9620797, 9620797, 8626685, 14668209, 3001670, 12234182"
CALCA	HGNC:1437	secreted	RAMP1	HGNC:9843	"9620797, 12234182"
CALCA	HGNC:1437	secreted	RAMP2	HGNC:9844	16531504
CALCB	HGNC:1438	secreted	CALCR	HGNC:1440	15692146
CALCB	HGNC:1438	secreted	CALCRL	HGNC:16709	12196113
CALCB	HGNC:1438	secreted	RAMP1	HGNC:9843	12529937
CALR	HGNC:1455	secreted	ITGA3	HGNC:6139	"8006073, 11327697"
CALR	HGNC:1455	secreted	ITGAV	HGNC:6150	12196561
CALR	HGNC:1455	secreted	LRP1	HGNC:6692	"14980518, 12821648"
CALR	HGNC:1455	secreted	MTNR1A	HGNC:7463	17215244
CALR	HGNC:1455	secreted	SCARF1	HGNC:16820	"15371419, 15371419"
CALR	HGNC:1455	secreted	TSHR	HGNC:12373	12383251
CAMP	HGNC:1472	secreted	FPR2	HGNC:3827	"11015447, 11015447, 11015447"
CCK	HGNC:1569	secreted	CCKAR	HGNC:1570	"10368033, 10400673, 10400673, 11300760, 9006937, 9603948, 10595537"
CCK	HGNC:1569	secreted	CCKBR	HGNC:1571	"10368033, 10438490, 8349705, 7681836, 10438490, 12695525, 15068617, 15520004, 15001692"
CCL1	HGNC:10609	secreted	CCR8	HGNC:1609	"12645948, 11154210, 16221874, 10419462, 12967681, 9211859"
CCL11	HGNC:10610	secreted	ACKR2	HGNC:1565	9405404
CCL11	HGNC:10610	secreted	ACKR4	HGNC:1611	10734104
CCL11	HGNC:10610	secreted	CCR2	HGNC:1603	"12554737, 15207250, 11264152"
CCL11	HGNC:10610	secreted	CCR3	HGNC:1604	"8642344, 9276730, 10488147, 16339911, 12761559, 10854442, 8642344, 9712872, 8642344, 8609214, 8676064"
CCL11	HGNC:10610	secreted	CCR5	HGNC:1606	"10477718, 11264152, 10477718"
CCL11	HGNC:10610	secreted	CXCR3	HGNC:4540	9660793
CCL13	HGNC:10611	secreted	ACKR2	HGNC:1565	9405404
CCL13	HGNC:10611	secreted	ACKR4	HGNC:1611	10734104
CCL13	HGNC:10611	secreted	CCR2	HGNC:1603	"9195948, 9276730, 12554737, 12149192, 9195948"
CCL13	HGNC:10611	secreted	CCR3	HGNC:1604	"9005985, 9276730, 16339911, 12149192"
CCL13	HGNC:10611	secreted	CCR5	HGNC:1606	"9790730, 10477718"
CCL13	HGNC:10611	secreted	CXCR3	HGNC:4540	9660793
CCL14	HGNC:10612	secreted	ACKR2	HGNC:1565	9405404
CCL14	HGNC:10612	secreted	CCR1	HGNC:1602	"9687537, 12381680, 11085751"
CCL14	HGNC:10612	secreted	CCR3	HGNC:1604	11085751
CCL14	HGNC:10612	secreted	CCR5	HGNC:1606	"12964882, 16298345, 11085751"
CCL15	HGNC:10613	secreted	CCR1	HGNC:1602	"9346309, 9346309, 9346309"
CCL15	HGNC:10613	secreted	CCR3	HGNC:1604	"9346309, 9346309, 9346309"
CCL16	HGNC:10614	secreted	CCR1	HGNC:1602	"11470772, 11470772, 10910894"
CCL16	HGNC:10614	secreted	CCR2	HGNC:1603	"11470772, 11470772"
CCL16	HGNC:10614	secreted	CCR5	HGNC:1606	11470772
CCL16	HGNC:10614	secreted	CCR8	HGNC:1609	10910894
CCL16	HGNC:10614	secreted	HRH4	HGNC:17383	"15265943, 15265943"
CCL17	HGNC:10615	secreted	ACKR1	HGNC:4035	13679391
CCL17	HGNC:10615	secreted	ACKR2	HGNC:1565	25297873
CCL17	HGNC:10615	secreted	CCR4	HGNC:1605	"9169480, 9430724, 9430724, 9169480"
CCL17	HGNC:10615	secreted	CCR8	HGNC:1609	"12832759, 9521068"
CCL18	HGNC:10616	secreted	CCR3	HGNC:1604	24218476
CCL18	HGNC:10616	secreted	CCR8	HGNC:1609	24218476
CCL18	HGNC:10616	secreted	PITPNM3	HGNC:21043	24218476
CCL19	HGNC:10617	secreted	ACKR2	HGNC:1565	10706668
CCL19	HGNC:10617	secreted	ACKR4	HGNC:1611	"23341447, 10706668"
CCL19	HGNC:10617	secreted	CCR10	HGNC:4474	10706668
CCL19	HGNC:10617	secreted	CCR7	HGNC:1608	"11342595, 9153236, 9507024, 9153236"
CCL19	HGNC:10617	secreted	CCRL2	HGNC:1612	20002784
CCL19	HGNC:10617	secreted	CXCR3	HGNC:4540	9660793
CCL2	HGNC:10618	secreted	ACKR1	HGNC:4035	"13679391, 17416748"
CCL2	HGNC:10618	secreted	ACKR2	HGNC:1565	"9364936, 9405404"
CCL2	HGNC:10618	secreted	ACKR4	HGNC:1611	10734104
CCL2	HGNC:10618	secreted	CCR1	HGNC:1602	"7679328, 8631787"
CCL2	HGNC:10618	secreted	CCR10	HGNC:4474	"9364936, 10706668"
CCL2	HGNC:10618	secreted	CCR2	HGNC:1603	"9287323, 9276730, 9346309, 12554737, 15207250, 10770925, 10529171, 9287323"
CCL2	HGNC:10618	secreted	CCR3	HGNC:1604	8642344
CCL2	HGNC:10618	secreted	CCR4	HGNC:1605	16421945
CCL2	HGNC:10618	secreted	CCR5	HGNC:1606	"16298345, 10477718"
CCL20	HGNC:10619	secreted	ACKR4	HGNC:1611	32533638
CCL20	HGNC:10619	secreted	CCR6	HGNC:1607	"12964882, 9169459, 9294137, 12081481, 9223454, 9169459, 9294137"
CCL20	HGNC:10619	secreted	CXCR3	HGNC:4540	9660793
CCL21	HGNC:10620	secreted	ACKR2	HGNC:1565	10706668
CCL21	HGNC:10620	secreted	ACKR4	HGNC:1611	"23341447, 10706668"
CCL21	HGNC:10620	secreted	CCR10	HGNC:4474	10706668
CCL21	HGNC:10620	secreted	CCR7	HGNC:1608	"11970971, 9507024, 9507024, 9585422"
CCL21	HGNC:10620	secreted	CXCR3	HGNC:4540	11907075
CCL22	HGNC:10621	secreted	ACKR2	HGNC:1565	25297873
CCL22	HGNC:10621	secreted	CCR4	HGNC:1605	"9430724, 9430724, 9430724, 9933589, 9743322"
CCL23	HGNC:10622	secreted	CCR1	HGNC:1602	"9886417, 12381680, 9558365, 10660125, 9886417"
CCL24	HGNC:10623	secreted	CCR2	HGNC:1603	15207250
CCL24	HGNC:10623	secreted	CCR3	HGNC:1604	"10488147, 15207250, 16339911, 12218106"
CCL25	HGNC:10624	secreted	ACKR2	HGNC:1565	10706668
CCL25	HGNC:10624	secreted	ACKR4	HGNC:1611	"23341447, 10706668"
CCL25	HGNC:10624	secreted	CCR10	HGNC:4474	10706668
CCL25	HGNC:10624	secreted	CCR9	HGNC:1610	"11159507, 10229797, 10498628"
CCL26	HGNC:10625	secreted	CCR1	HGNC:1602	15039444
CCL26	HGNC:10625	secreted	CCR2	HGNC:1603	15207250
